1,6,2,3,5,8,4,7,9,10,11,12,14,20,25,13,23,17,15,19,16,26,22,24,18,21
1,6,3,8,2,7,5,10,4,9,12,20,11,13,14,17,25,19,23,26,15,24,16,21,22,18
1,6,8,7,3,10,2,9,5,4,20,13,12,17,11,19,14,26,25,24,23,21,15,18,16,22
1,6,7,10,8,9,3,4,2,5,13,17,20,19,12,26,11,24,14,21,25,18,23,22,15,16
1,6,10,9,7,4,8,5,3,2,17,19,13,26,20,24,12,21,11,18,14,22,25,16,23,15
1,6,9,4,10,5,7,2,8,3,19,26,17,24,13,21,20,18,12,22,11,16,14,15,25,23
1,6,5,4,9,2,10,3,7,8,26,24,19,21,17,18,13,22,20,16,12,15,11,23,14,25
1,6,4,2,5,3,9,8,10,7,24,21,26,18,19,22,17,16,13,15,20,23,12,25,11,14
1,6,2,3,5,10,7,4,9,8,21,18,24,22,26,16,19,15,17,23,13,25,20,14,12,11
1,6,3,10,2,4,5,8,7,9,18,22,21,16,24,15,26,23,19,25,17,14,13,11,20,12
1,6,10,4,3,8,2,9,5,7,22,16,18,15,21,23,24,25,26,14,19,11,17,12,13,20
1,6,4,8,10,9,3,7,2,5,16,15,22,23,18,25,21,14,24,11,26,12,19,20,17,13
1,6,8,9,4,7,10,5,3,2,15,23,16,25,22,14,18,11,21,12,24,20,26,13,19,17
1,6,9,7,8,5,4,2,10,3,23,25,15,14,16,11,22,12,18,20,21,13,24,17,26,19
1,6,7,5,9,2,8,3,4,10,25,14,23,11,15,12,16,20,22,13,18,17,21,19,24,26
1,6,5,2,7,3,9,10,8,4,14,11,25,12,23,20,15,13,16,17,22,19,18,26,21,24
1,6,9,7,3,10,2,8,4,5,22,15,12,13,11,21,16,25,20,19,18,26,23,14,17,24
1,6,7,10,9,8,3,5,2,4,15,13,22,21,12,25,11,19,16,26,20,14,18,24,23,17
1,6,10,8,7,5,9,4,3,2,13,21,15,25,22,19,12,26,11,14,16,24,20,17,18,23
1,6,8,5,10,4,7,2,9,3,21,25,13,19,15,26,22,14,12,24,11,17,16,23,20,18
1,6,5,4,8,2,10,3,7,9,25,19,21,26,13,14,15,24,22,17,12,23,11,18,16,20
1,6,4,2,5,3,8,9,10,7,19,26,25,14,21,24,13,17,15,23,22,18,12,20,11,16
1,6,2,3,7,8,4,5,10,9,26,14,19,24,25,17,21,23,13,18,15,20,22,16,12,11
1,6,3,8,2,5,7,9,4,10,14,24,26,17,19,23,25,18,21,20,13,16,15,11,22,12
1,6,8,5,3,9,2,10,7,4,24,17,14,23,26,18,19,20,25,16,21,11,13,12,15,22
1,6,5,9,8,10,3,4,2,7,17,23,24,18,14,20,26,16,19,11,25,12,21,22,13,15
1,6,9,10,5,4,8,7,3,2,23,18,17,20,24,16,14,11,26,12,19,22,25,15,21,13
1,6,10,4,9,7,5,2,8,3,18,20,23,16,17,11,24,12,14,22,26,15,19,13,25,21
1,6,4,7,10,2,9,3,5,8,20,16,18,11,23,12,17,22,24,15,14,13,26,21,19,25
1,6,7,2,4,3,10,8,9,5,16,11,20,12,18,22,23,15,17,13,24,21,14,25,26,19
1,6,4,9,2,7,3,10,5,8,12,24,11,22,17,15,23,26,14,20,18,21,13,25,19,16
1,6,9,7,4,10,2,8,3,5,24,22,12,15,11,26,17,20,23,21,14,25,18,16,13,19
1,6,7,10,9,8,4,5,2,3,22,15,24,26,12,20,11,21,17,25,23,16,14,19,18,13
1,6,10,8,7,5,9,3,4,2,15,26,22,20,24,21,12,25,11,16,17,19,23,13,14,18
1,6,8,5,10,3,7,2,9,4,26,20,15,21,22,25,24,16,12,19,11,13,17,18,23,14
1,6,5,3,8,2,10,4,7,9,20,21,26,25,15,16,22,19,24,13,12,18,11,14,17,23
1,6,3,2,5,4,8,9,10,7,21,25,20,16,26,19,15,13,22,18,24,14,12,23,11,17
1,6,4,9,7,2,3,10,5,8,25,16,21,19,20,13,26,18,15,14,22,23,24,17,12,11
1,6,9,2,4,10,7,8,3,5,16,19,25,13,21,18,20,14,26,23,15,17,22,11,24,12
1,6,2,10,9,8,4,5,7,3,19,13,16,18,25,14,21,23,20,17,26,11,15,12,22,24
1,6,10,8,2,5,9,3,4,7,13,18,19,14,16,23,25,17,21,11,20,12,26,24,15,22
1,6,8,5,10,3,2,7,9,4,18,14,13,23,19,17,16,11,25,12,21,24,20,22,26,15
1,6,5,3,8,7,10,4,2,9,14,23,18,17,13,11,19,12,16,24,25,22,21,15,20,26
1,6,3,7,5,4,8,9,10,2,23,17,14,11,18,12,13,24,19,22,16,15,25,26,21,20
1,6,7,4,3,9,5,2,8,10,17,11,23,12,14,24,18,22,13,15,19,26,16,20,25,21
