1,5,27,25,24,23,22,9,21,10,20,11,19,12,18,13,17,14,16,15,3,1,2,28,3,4,26,5,6,7,8
1,5,3,1,2,28,3,4,26,5,6,7,8,27,25,24,23,22,9,21,10,20,11,19,12,18,13,17,14,16,15
1,5,27,25,24,9,23,10,22,11,21,12,20,13,19,14,18,15,17,16,3,2,3,1,4,28,5,6,26,7,8
1,5,3,2,3,1,4,28,5,6,26,7,8,27,25,24,9,23,10,22,11,21,12,20,13,19,14,18,15,17,16
1,5,27,9,25,10,24,11,23,12,22,13,21,14,20,15,19,16,18,17,3,3,4,2,5,1,6,28,7,8,26
1,5,3,3,4,2,5,1,6,28,7,8,26,27,9,25,10,24,11,23,12,22,13,21,14,20,15,19,16,18,17
1,5,9,27,10,11,25,12,24,13,23,14,22,15,21,16,20,17,19,18,3,4,5,3,6,2,7,1,8,28,26
1,5,3,4,5,3,6,2,7,1,8,28,26,9,27,10,11,25,12,24,13,23,14,22,15,21,16,20,17,19,18
1,5,9,10,11,27,12,13,25,14,24,15,23,16,22,17,21,18,20,19,3,5,6,4,7,3,8,2,1,28,26
1,5,3,5,6,4,7,3,8,2,1,28,26,9,10,11,27,12,13,25,14,24,15,23,16,22,17,21,18,20,19
1,5,9,10,11,12,13,27,14,15,25,16,24,17,23,18,22,19,21,20,3,6,7,5,8,4,3,2,1,28,26
1,5,3,6,7,5,8,4,3,2,1,28,26,9,10,11,12,13,27,14,15,25,16,24,17,23,18,22,19,21,20
1,5,9,10,11,12,13,14,15,27,16,17,25,18,24,19,23,20,22,21,3,7,8,6,5,4,3,2,1,28,26
1,5,3,7,8,6,5,4,3,2,1,28,26,9,10,11,12,13,14,15,27,16,17,25,18,24,19,23,20,22,21
1,5,9,10,11,12,13,14,15,16,17,27,18,19,25,20,24,21,23,22,3,8,7,6,5,4,3,2,1,28,26
1,5,3,8,7,6,5,4,3,2,1,28,26,9,10,11,12,13,14,15,16,17,27,18,19,25,20,24,21,23,22
1,5,9,10,11,12,13,14,15,16,17,18,19,27,20,21,25,22,24,23,3,8,7,6,5,4,3,2,1,28,26
1,5,3,8,7,6,5,4,3,2,1,28,26,9,10,11,12,13,14,15,16,17,18,19,27,20,21,25,22,24,23
1,5,10,11,9,12,13,14,15,16,17,18,19,20,21,27,22,23,25,24,3,8,7,6,5,4,3,2,1,28,26
1,5,3,8,7,6,5,4,3,2,1,28,26,10,11,9,12,13,14,15,16,17,18,19,20,21,27,22,23,25,24
1,5,11,12,10,13,9,14,15,16,17,18,19,20,21,22,23,27,24,25,3,8,7,6,5,4,3,2,1,28,26
1,5,3,8,7,6,5,4,3,2,1,28,26,11,12,10,13,9,14,15,16,17,18,19,20,21,22,23,27,24,25
1,5,12,13,11,14,10,15,9,16,17,18,19,20,21,22,23,24,25,27,3,8,7,6,5,4,3,2,1,28,26
1,5,3,8,7,6,5,4,3,2,1,28,26,12,13,11,14,10,15,9,16,17,18,19,20,21,22,23,24,25,27
1,5,13,14,12,15,11,16,10,17,9,18,19,20,21,22,23,24,25,27,3,8,7,6,5,4,3,2,1,26,28
1,5,3,8,7,6,5,4,3,2,1,26,28,13,14,12,15,11,16,10,17,9,18,19,20,21,22,23,24,25,27
1,5,14,15,13,16,12,17,11,18,10,19,9,20,21,22,23,24,25,27,3,8,7,6,5,4,3,26,2,1,28
1,5,3,8,7,6,5,4,3,26,2,1,28,14,15,13,16,12,17,11,18,10,19,9,20,21,22,23,24,25,27
1,5,15,16,14,17,13,18,12,19,11,20,10,21,9,22,23,24,25,27,3,8,7,6,5,26,4,3,28,2,1
1,5,3,8,7,6,5,26,4,3,28,2,1,15,16,14,17,13,18,12,19,11,20,10,21,9,22,23,24,25,27
1,5,16,17,15,18,14,19,13,20,12,21,11,22,10,23,9,24,25,27,3,8,7,26,6,5,28,4,1,3,2
1,5,3,8,7,26,6,5,28,4,1,3,2,16,17,15,18,14,19,13,20,12,21,11,22,10,23,9,24,25,27
1,5,17,18,16,19,15,20,14,21,13,22,12,23,11,24,10,25,9,27,3,26,8,7,28,6,1,5,2,4,3
1,5,3,26,8,7,28,6,1,5,2,4,3,17,18,16,19,15,20,14,21,13,22,12,23,11,24,10,25,9,27
1,5,18,19,17,20,16,21,15,22,14,23,13,24,12,25,11,10,27,9,3,26,28,8,1,7,2,6,3,5,4
1,5,3,26,28,8,1,7,2,6,3,5,4,18,19,17,20,16,21,15,22,14,23,13,24,12,25,11,10,27,9
1,5,19,20,18,21,17,22,16,23,15,24,14,25,13,12,27,11,10,9,3,26,28,1,2,8,3,7,4,6,5
